0,0,0,0,4,3,0,0,1,2,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,2,0
0,0,0,0,0,2,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,3,2,1
1,2,0,3,4,5,0,0,0,6,0,0,0,0
0,6,7,5,0,8,0,0,0,0,4,1,2,3
0,0,0,1,2,3,0,0,5,4,0,6,0,0
1,0,0,0,4,0,3,2,0,0,0,0,0,0
0,0,0,0,2,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,2,0,0
7,0,6,0,0,5,9,8,0,0,2,3,4,1
0,0,0,0,0,0,1,2,3,0,0,0,5,4
0,0,0,3,2,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2,3,0,5,0,0,4
5,0,6,0,8,7,0,4,3,0,0,0,1,2
0,0,0,2,1,0,0,0,0,0,3,0,0,0
9,8,7,4,5,6,11,10,0,0,3,0,1,2
6,0,7,0,0,0,0,5,4,0,0,3,2,1
5,4,3,0,0,2,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,1,0,0,0,0,0
7,0,6,0,0,5,0,8,3,4,0,2,1,0
0,0,0,0,0,0,0,0,2,0,0,0,0,1
3,4,5,0,0,6,1,2,0,0,0,8,7,0
0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0,0,0,0
