0,0,0,0,0,0,0,1,2,0,4,5,0,3
0,2,3,1,0,4,0,0,6,5,0,0,0,0
0,0,0,3,0,0,0,0,0,0,2,0,0,1
0,0,0,0,7,0,6,5,4,0,2,1,0,3
2,4,3,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,3,0,0,1,2,0,0,4,5
0,1,0,2,3,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,2,1,0,0,0,0
0,0,0,0,0,2,0,0,0,1,0,0,3,0
4,0,3,0,0,2,0,0,0,0,0,0,1,0
0,0,0,5,4,3,0,0,0,0,0,1,2,0
0,7,6,8,9,5,10,0,0,0,2,1,4,3
0,0,0,0,3,2,4,0,0,0,0,0,1,0
0,0,3,0,0,2,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,2,3,0,5,4,0,0
0,0,0,0,0,1,5,4,3,2,0,0,0,0
2,3,4,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,1,0,3,2
2,1,0,0,0,0,0,3,4,5,0,0,0,0
2,1,0,0,0,0,0,3,4,0,6,5,8,7
0,0,0,0,0,0,0,0,0,0,2,0,0,1
7,6,8,5,0,1,0,0,0,0,4,3,2,0
0,0,1,0,0,2,0,0,0,0,0,0,3,4
5,4,0,3,0,0,0,0,0,0,2,1,0,0
0,0,0,0,0,0,0,1,2,0,4,3,0,5
