4,0,3,0,1,2,0,0,0,0,0,0,0,0
0,0,1,0,3,2,4,0,0,0,0,0,0,0
3,2,1,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,1,0,0
3,4,0,5,0,0,0,2,1,0,0,0,0,0
0,0,0,1,7,6,0,0,4,5,2,0,0,3
0,0,0,0,0,0,0,4,3,0,0,0,1,2
0,0,0,0,0,0,0,0,0,0,2,3,0,1
0,0,0,0,0,0,0,0,2,1,0,0,0,0
5,4,0,3,8,0,7,6,0,0,2,1,0,0
1,2,0,3,0,7,0,0,0,0,4,5,6,0
0,1,0,2,0,0,0,0,0,0,3,0,0,0
0,5,6,4,0,0,0,0,1,0,3,0,0,2
0,0,0,0,0,0,0,0,2,0,0,1,0,0
1,0,2,0,0,3,0,0,0,4,0,0,0,0
3,0,2,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,5,4,3,2
0,3,0,2,0,0,0,0,0,0,1,0,0,0
